F1 for AiM
Racer,Lando Norris
Vehicle,McLaren
Track,Circuit de Barcelona-Catalunya
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-06-22 10:45:18.482,4545,60,0,0,True,8,car,0 days 00:00:00.272000,0 days 00:29:00.067000
2024-06-22 10:45:18.642,4425,54,0,0,True,8,car,0 days 00:00:00.432000,0 days 00:29:00.227000
2024-06-22 10:45:18.802,4481,52,0,0,True,8,car,0 days 00:00:00.592000,0 days 00:29:00.387000
2024-06-22 10:45:19.002,4133,49,0,0,True,8,car,0 days 00:00:00.792000,0 days 00:29:00.587000
2024-06-22 10:45:19.283,4104,45,0,0,True,8,car,0 days 00:00:01.073000,0 days 00:29:00.868000
2024-06-22 10:45:19.683,4099,39,0,0,True,8,car,0 days 00:00:01.473000,0 days 00:29:01.268000
2024-06-22 10:45:19.843,4123,34,0,0,True,8,car,0 days 00:00:01.633000,0 days 00:29:01.428000
2024-06-22 10:45:20.003,4077,28,0,0,True,8,car,0 days 00:00:01.793000,0 days 00:29:01.588000
2024-06-22 10:45:20.323,4039,21,0,0,True,8,car,0 days 00:00:02.113000,0 days 00:29:01.908000
2024-06-22 10:45:20.803,4019,10,0,0,True,8,car,0 days 00:00:02.593000,0 days 00:29:02.388000
2024-06-22 10:45:21.003,3987,6,0,0,True,8,car,0 days 00:00:02.793000,0 days 00:29:02.588000
2024-06-22 10:45:21.203,3972,4,0,0,True,8,car,0 days 00:00:02.993000,0 days 00:29:02.788000
2024-06-22 10:45:21.363,4024,3,0,0,True,8,car,0 days 00:00:03.153000,0 days 00:29:02.948000
2024-06-22 10:45:21.723,4132,0,0,0,True,8,car,0 days 00:00:03.513000,0 days 00:29:03.308000
2024-06-22 10:45:22.203,3883,0,0,0,False,8,car,0 days 00:00:03.993000,0 days 00:29:03.788000
2024-06-22 10:45:22.443,3985,0,0,0,True,8,car,0 days 00:00:04.233000,0 days 00:29:04.028000
2024-06-22 10:45:22.843,4066,0,0,0,True,8,car,0 days 00:00:04.633000,0 days 00:29:04.428000
2024-06-22 10:45:23.203,4271,0,0,0,True,8,car,0 days 00:00:04.993000,0 days 00:29:04.788000
2024-06-22 10:45:23.483,4235,0,0,0,True,8,car,0 days 00:00:05.273000,0 days 00:29:05.068000
2024-06-22 10:45:23.683,4238,0,0,0,True,8,car,0 days 00:00:05.473000,0 days 00:29:05.268000
2024-06-22 10:45:23.923,4071,0,0,0,True,8,car,0 days 00:00:05.713000,0 days 00:29:05.508000
2024-06-22 10:45:24.203,3718,0,0,0,True,8,car,0 days 00:00:05.993000,0 days 00:29:05.788000
2024-06-22 10:45:24.403,3680,0,0,0,True,8,car,0 days 00:00:06.193000,0 days 00:29:05.988000
2024-06-22 10:45:24.563,3778,0,0,0,True,8,car,0 days 00:00:06.353000,0 days 00:29:06.148000
2024-06-22 10:45:24.842,3848,0,0,0,True,8,car,0 days 00:00:06.632000,0 days 00:29:06.427000
2024-06-22 10:45:25.122,3727,0,0,0,False,8,car,0 days 00:00:06.912000,0 days 00:29:06.707000
2024-06-22 10:45:25.522,3851,0,0,0,True,8,car,0 days 00:00:07.312000,0 days 00:29:07.107000
2024-06-22 10:45:25.923,3911,0,0,0,True,8,car,0 days 00:00:07.713000,0 days 00:29:07.508000
2024-06-22 10:45:26.323,3921,0,0,0,True,8,car,0 days 00:00:08.113000,0 days 00:29:07.908000
2024-06-22 10:45:26.523,3942,0,0,0,True,8,car,0 days 00:00:08.313000,0 days 00:29:08.108000
2024-06-22 10:45:26.803,3873,0,0,0,True,8,car,0 days 00:00:08.593000,0 days 00:29:08.388000
2024-06-22 10:45:27.203,3965,0,0,0,True,8,car,0 days 00:00:08.993000,0 days 00:29:08.788000
2024-06-22 10:45:27.363,3972,0,0,0,True,8,car,0 days 00:00:09.153000,0 days 00:29:08.948000
2024-06-22 10:45:27.603,3982,0,0,0,True,8,car,0 days 00:00:09.393000,0 days 00:29:09.188000
2024-06-22 10:45:27.763,4048,0,0,0,True,8,car,0 days 00:00:09.553000,0 days 00:29:09.348000
2024-06-22 10:45:28.003,4078,0,0,0,True,8,car,0 days 00:00:09.793000,0 days 00:29:09.588000
2024-06-22 10:45:28.443,4081,0,1,0,True,8,car,0 days 00:00:10.233000,0 days 00:29:10.028000
2024-06-22 10:45:28.643,4081,0,1,0,True,8,car,0 days 00:00:10.433000,0 days 00:29:10.228000
2024-06-22 10:45:28.963,3990,0,1,0,True,8,car,0 days 00:00:10.753000,0 days 00:29:10.548000
2024-06-22 10:45:29.243,3913,0,1,0,True,8,car,0 days 00:00:11.033000,0 days 00:29:10.828000
2024-06-22 10:45:29.603,4108,0,1,0,False,8,car,0 days 00:00:11.393000,0 days 00:29:11.188000
2024-06-22 10:45:30.003,4503,0,1,9,False,8,car,0 days 00:00:11.793000,0 days 00:29:11.588000
2024-06-22 10:45:30.163,5623,0,1,15,False,8,car,0 days 00:00:11.953000,0 days 00:29:11.748000
2024-06-22 10:45:30.323,6743,0,1,16,False,8,car,0 days 00:00:12.113000,0 days 00:29:11.908000
2024-06-22 10:45:30.563,8423,0,1,17,False,8,car,0 days 00:00:12.353000,0 days 00:29:12.148000
2024-06-22 10:45:30.883,9656,0,1,17,False,8,car,0 days 00:00:12.673000,0 days 00:29:12.468000
2024-06-22 10:45:31.283,9647,0,1,17,True,8,car,0 days 00:00:13.073000,0 days 00:29:12.868000
2024-06-22 10:45:31.562,9654,0,1,17,False,8,car,0 days 00:00:13.352000,0 days 00:29:13.147000
2024-06-22 10:45:31.842,9717,0,1,17,False,8,car,0 days 00:00:13.632000,0 days 00:29:13.427000
2024-06-22 10:45:32.082,9724,0,1,17,False,8,car,0 days 00:00:13.872000,0 days 00:29:13.667000
2024-06-22 10:45:32.323,9748,0,1,17,False,8,car,0 days 00:00:14.113000,0 days 00:29:13.908000
2024-06-22 10:45:32.483,9643,0,1,17,False,8,car,0 days 00:00:14.273000,0 days 00:29:14.068000
2024-06-22 10:45:32.643,9709,0,1,17,False,8,car,0 days 00:00:14.433000,0 days 00:29:14.228000
2024-06-22 10:45:32.923,9696,0,1,17,False,8,car,0 days 00:00:14.713000,0 days 00:29:14.508000
2024-06-22 10:45:33.083,9676,0,1,17,False,8,car,0 days 00:00:14.873000,0 days 00:29:14.668000
2024-06-22 10:45:33.403,9728,0,1,17,False,8,car,0 days 00:00:15.193000,0 days 00:29:14.988000
2024-06-22 10:45:33.763,9706,0,1,17,False,8,car,0 days 00:00:15.553000,0 days 00:29:15.348000
2024-06-22 10:45:34.163,9687,0,1,17,False,8,car,0 days 00:00:15.953000,0 days 00:29:15.748000
2024-06-22 10:45:34.323,9673,0,1,17,False,8,car,0 days 00:00:16.113000,0 days 00:29:15.908000
2024-06-22 10:45:34.563,9728,0,1,17,False,8,car,0 days 00:00:16.353000,0 days 00:29:16.148000
2024-06-22 10:45:35.003,8627,0,1,16,False,8,car,0 days 00:00:16.793000,0 days 00:29:16.588000
2024-06-22 10:45:35.443,5547,13,1,16,False,8,car,0 days 00:00:17.233000,0 days 00:29:17.028000
2024-06-22 10:45:35.603,4459,16,1,16,False,8,car,0 days 00:00:17.393000,0 days 00:29:17.188000
2024-06-22 10:45:35.923,4416,25,1,16,False,8,car,0 days 00:00:17.713000,0 days 00:29:17.508000
2024-06-22 10:45:36.243,4541,37,1,29,False,8,car,0 days 00:00:18.033000,0 days 00:29:17.828000
2024-06-22 10:45:36.643,5829,50,1,42,False,8,car,0 days 00:00:18.433000,0 days 00:29:18.228000
2024-06-22 10:45:36.883,6852,57,1,44,False,8,car,0 days 00:00:18.673000,0 days 00:29:18.468000
2024-06-22 10:45:37.323,9245,72,1,55,False,8,car,0 days 00:00:19.113000,0 days 00:29:18.908000
2024-06-22 10:45:37.723,11905,88,1,65,False,8,car,0 days 00:00:19.513000,0 days 00:29:19.308000
2024-06-22 10:45:37.963,11905,100,1,73,False,8,car,0 days 00:00:19.753000,0 days 00:29:19.548000
2024-06-22 10:45:38.242,11002,107,2,77,False,8,car,0 days 00:00:20.032000,0 days 00:29:19.827000
2024-06-22 10:45:38.442,12124,121,2,84,False,8,car,0 days 00:00:20.232000,0 days 00:29:20.027000
2024-06-22 10:45:38.682,11578,130,2,90,False,8,car,0 days 00:00:20.472000,0 days 00:29:20.267000
2024-06-22 10:45:39.003,11805,144,3,100,False,8,car,0 days 00:00:20.793000,0 days 00:29:20.588000
2024-06-22 10:45:39.243,11767,159,3,100,False,8,car,0 days 00:00:21.033000,0 days 00:29:20.828000
2024-06-22 10:45:39.563,10733,172,3,100,False,8,car,0 days 00:00:21.353000,0 days 00:29:21.148000
2024-06-22 10:45:39.803,11318,180,4,100,False,8,car,0 days 00:00:21.593000,0 days 00:29:21.388000
