F1 for AiM
Racer,Oscar Piastri
Vehicle,McLaren
Track,Circuit de Barcelona-Catalunya
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-06-22 10:45:49.283,4173,44,0,0,True,8,car,0 days 00:00:00.220000,0 days 00:29:30.868000
2024-06-22 10:45:49.443,4007,42,0,0,True,8,car,0 days 00:00:00.380000,0 days 00:29:31.028000
2024-06-22 10:45:49.683,4092,40,0,0,True,8,car,0 days 00:00:00.620000,0 days 00:29:31.268000
2024-06-22 10:45:49.923,3945,37,0,0,True,8,car,0 days 00:00:00.860000,0 days 00:29:31.508000
2024-06-22 10:45:50.403,3988,34,0,0,True,8,car,0 days 00:00:01.340000,0 days 00:29:31.988000
2024-06-22 10:45:50.563,3923,33,0,0,True,8,car,0 days 00:00:01.500000,0 days 00:29:32.148000
2024-06-22 10:45:51.003,4061,28,0,0,True,8,car,0 days 00:00:01.940000,0 days 00:29:32.588000
2024-06-22 10:45:51.283,4084,22,0,0,True,8,car,0 days 00:00:02.220000,0 days 00:29:32.868000
2024-06-22 10:45:51.562,4079,20,0,0,True,8,car,0 days 00:00:02.499000,0 days 00:29:33.147000
2024-06-22 10:45:52.483,3933,10,0,0,True,8,car,0 days 00:00:03.420000,0 days 00:29:34.068000
2024-06-22 10:45:52.923,3888,3,0,0,True,8,car,0 days 00:00:03.860000,0 days 00:29:34.508000
2024-06-22 10:45:53.283,3783,0,0,0,True,8,car,0 days 00:00:04.220000,0 days 00:29:34.868000
2024-06-22 10:45:53.563,4110,0,0,0,True,8,car,0 days 00:00:04.500000,0 days 00:29:35.148000
2024-06-22 10:45:53.803,4259,0,0,0,True,8,car,0 days 00:00:04.740000,0 days 00:29:35.388000
2024-06-22 10:45:54.163,4216,0,0,0,True,8,car,0 days 00:00:05.100000,0 days 00:29:35.748000
2024-06-22 10:45:54.323,4263,0,0,0,True,8,car,0 days 00:00:05.260000,0 days 00:29:35.908000
