F1 for AiM
Racer,Carlos Sainz
Vehicle,Ferrari
Track,Circuit de Barcelona-Catalunya
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-06-22 10:40:04.842,5115,44,1,13,False,8,car,0 days 00:00:00.140000,0 days 00:23:46.427000
2024-06-22 10:40:05.082,4941,45,1,12,False,8,car,0 days 00:00:00.380000,0 days 00:23:46.667000
2024-06-22 10:40:05.282,5210,45,1,12,False,8,car,0 days 00:00:00.580000,0 days 00:23:46.867000
2024-06-22 10:40:05.482,5265,46,1,12,False,8,car,0 days 00:00:00.780000,0 days 00:23:47.067000
2024-06-22 10:40:05.642,5432,47,1,13,False,8,car,0 days 00:00:00.940000,0 days 00:23:47.227000
2024-06-22 10:40:06.042,5733,49,1,15,False,8,car,0 days 00:00:01.340000,0 days 00:23:47.627000
2024-06-22 10:40:06.282,5733,51,1,14,False,8,car,0 days 00:00:01.580000,0 days 00:23:47.867000
2024-06-22 10:40:06.482,5905,51,1,13,False,8,car,0 days 00:00:01.780000,0 days 00:23:48.067000
2024-06-22 10:40:06.642,6054,52,1,13,False,8,car,0 days 00:00:01.940000,0 days 00:23:48.227000
2024-06-22 10:40:06.922,6381,53,1,19,False,8,car,0 days 00:00:02.220000,0 days 00:23:48.507000
2024-06-22 10:40:07.202,6671,55,1,21,False,8,car,0 days 00:00:02.500000,0 days 00:23:48.787000
2024-06-22 10:40:07.562,6959,59,1,21,False,8,car,0 days 00:00:02.860000,0 days 00:23:49.147000
2024-06-22 10:40:07.922,7252,62,1,25,False,8,car,0 days 00:00:03.220000,0 days 00:23:49.507000
2024-06-22 10:40:08.202,7450,64,1,23,False,8,car,0 days 00:00:03.500000,0 days 00:23:49.787000
2024-06-22 10:40:08.482,7589,66,1,21,False,8,car,0 days 00:00:03.780000,0 days 00:23:50.067000
2024-06-22 10:40:08.721,7757,66,1,22,False,8,car,0 days 00:00:04.019000,0 days 00:23:50.306000
2024-06-22 10:40:08.881,7757,68,1,23,False,8,car,0 days 00:00:04.179000,0 days 00:23:50.466000
2024-06-22 10:40:09.201,8167,69,1,29,False,8,car,0 days 00:00:04.499000,0 days 00:23:50.786000
2024-06-22 10:40:09.481,8397,72,1,32,False,8,car,0 days 00:00:04.779000,0 days 00:23:51.066000
2024-06-22 10:40:09.801,8721,75,1,34,False,8,car,0 days 00:00:05.099000,0 days 00:23:51.386000
2024-06-22 10:40:10.002,8956,76,1,36,False,8,car,0 days 00:00:05.300000,0 days 00:23:51.587000
2024-06-22 10:40:10.202,9080,78,1,37,False,8,car,0 days 00:00:05.500000,0 days 00:23:51.787000
2024-06-22 10:40:10.362,9133,79,1,37,False,8,car,0 days 00:00:05.660000,0 days 00:23:51.947000
2024-06-22 10:40:10.522,9296,80,1,37,False,8,car,0 days 00:00:05.820000,0 days 00:23:52.107000
2024-06-22 10:40:10.722,9436,81,1,36,False,8,car,0 days 00:00:06.020000,0 days 00:23:52.307000
2024-06-22 10:40:11.082,9480,82,1,31,False,8,car,0 days 00:00:06.380000,0 days 00:23:52.667000
2024-06-22 10:40:11.322,9410,82,1,21,False,8,car,0 days 00:00:06.620000,0 days 00:23:52.907000
2024-06-22 10:40:11.602,9327,82,1,23,False,8,car,0 days 00:00:06.900000,0 days 00:23:53.187000
2024-06-22 10:40:11.882,9335,81,1,23,False,8,car,0 days 00:00:07.180000,0 days 00:23:53.467000
2024-06-22 10:40:12.082,9283,81,1,24,False,8,car,0 days 00:00:07.380000,0 days 00:23:53.667000
2024-06-22 10:40:12.322,9249,81,1,25,False,8,car,0 days 00:00:07.620000,0 days 00:23:53.907000
2024-06-22 10:40:12.602,9315,81,1,25,False,8,car,0 days 00:00:07.900000,0 days 00:23:54.187000
2024-06-22 10:40:12.882,9218,81,1,25,False,8,car,0 days 00:00:08.180000,0 days 00:23:54.467000
2024-06-22 10:40:13.202,9256,81,1,30,False,8,car,0 days 00:00:08.500000,0 days 00:23:54.787000
2024-06-22 10:40:13.442,9461,81,1,36,False,8,car,0 days 00:00:08.740000,0 days 00:23:55.027000
2024-06-22 10:40:13.762,9782,84,1,42,False,8,car,0 days 00:00:09.060000,0 days 00:23:55.347000
2024-06-22 10:40:14.162,10175,88,1,41,False,8,car,0 days 00:00:09.460000,0 days 00:23:55.747000
2024-06-22 10:40:14.402,10056,89,1,39,False,8,car,0 days 00:00:09.700000,0 days 00:23:55.987000
2024-06-22 10:40:14.842,9839,87,1,0,False,8,car,0 days 00:00:10.140000,0 days 00:23:56.427000
2024-06-22 10:40:15.242,10095,86,1,32,False,8,car,0 days 00:00:10.540000,0 days 00:23:56.827000
2024-06-22 10:40:15.561,10100,87,1,42,False,8,car,0 days 00:00:10.859000,0 days 00:23:57.146000
2024-06-22 10:40:15.841,10460,89,1,44,False,8,car,0 days 00:00:11.139000,0 days 00:23:57.426000
2024-06-22 10:40:16.241,11005,94,1,47,False,8,car,0 days 00:00:11.539000,0 days 00:23:57.826000
2024-06-22 10:40:16.441,11134,96,1,48,False,8,car,0 days 00:00:11.739000,0 days 00:23:58.026000
2024-06-22 10:40:16.602,10294,97,1,45,False,8,car,0 days 00:00:11.900000,0 days 00:23:58.187000
2024-06-22 10:40:16.802,8997,100,1,46,False,8,car,0 days 00:00:12.100000,0 days 00:23:58.387000
2024-06-22 10:40:17.042,9160,105,2,44,False,8,car,0 days 00:00:12.340000,0 days 00:23:58.627000
2024-06-22 10:40:17.282,9214,106,2,29,False,8,car,0 days 00:00:12.580000,0 days 00:23:58.867000
2024-06-22 10:40:17.442,9243,107,2,20,False,8,car,0 days 00:00:12.740000,0 days 00:23:59.027000
2024-06-22 10:40:17.802,8872,105,2,0,False,8,car,0 days 00:00:13.100000,0 days 00:23:59.387000
2024-06-22 10:40:17.962,8855,103,2,0,False,8,car,0 days 00:00:13.260000,0 days 00:23:59.547000
2024-06-22 10:40:18.242,8760,102,2,0,False,8,car,0 days 00:00:13.540000,0 days 00:23:59.827000
2024-06-22 10:40:18.522,8533,100,2,0,False,8,car,0 days 00:00:13.820000,0 days 00:24:00.107000
2024-06-22 10:40:18.722,8378,99,2,0,False,8,car,0 days 00:00:14.020000,0 days 00:24:00.307000
2024-06-22 10:40:18.882,8359,97,2,0,False,8,car,0 days 00:00:14.180000,0 days 00:24:00.467000
2024-06-22 10:40:19.122,8209,96,2,0,False,8,car,0 days 00:00:14.420000,0 days 00:24:00.707000
2024-06-22 10:40:19.322,8109,95,2,0,False,8,car,0 days 00:00:14.620000,0 days 00:24:00.907000
