F1 for AiM
Racer,Kevin Magnussen
Vehicle,Haas F1 Team
Track,Circuit de Barcelona-Catalunya
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-06-22 14:05:04.442,4063,34,1,0,False,8,car,0 days 00:00:00.195000,0 days 00:18:31.525000
2024-06-22 14:05:04.682,4038,34,1,0,False,8,car,0 days 00:00:00.435000,0 days 00:18:31.765000
2024-06-22 14:05:04.842,3971,34,1,1,False,8,car,0 days 00:00:00.595000,0 days 00:18:31.925000
2024-06-22 14:05:05.122,3997,34,1,1,False,8,car,0 days 00:00:00.875000,0 days 00:18:32.205000
2024-06-22 14:05:05.442,3849,34,1,3,False,8,car,0 days 00:00:01.195000,0 days 00:18:32.525000
2024-06-22 14:05:05.722,3781,34,1,5,False,8,car,0 days 00:00:01.475000,0 days 00:18:32.805000
2024-06-22 14:05:05.922,4167,34,1,5,False,8,car,0 days 00:00:01.675000,0 days 00:18:33.005000
2024-06-22 14:05:06.082,4027,34,1,5,False,8,car,0 days 00:00:01.835000,0 days 00:18:33.165000
2024-06-22 14:05:06.322,3972,34,1,0,False,8,car,0 days 00:00:02.075000,0 days 00:18:33.405000
2024-06-22 14:05:06.601,3943,34,1,0,False,8,car,0 days 00:00:02.354000,0 days 00:18:33.684000
2024-06-22 14:05:06.761,3861,34,1,0,False,8,car,0 days 00:00:02.514000,0 days 00:18:33.844000
2024-06-22 14:05:06.921,4018,34,1,0,False,8,car,0 days 00:00:02.674000,0 days 00:18:34.004000
2024-06-22 14:05:07.241,3952,34,1,0,False,8,car,0 days 00:00:02.994000,0 days 00:18:34.324000
2024-06-22 14:05:07.681,3870,34,1,0,False,8,car,0 days 00:00:03.434000,0 days 00:18:34.764000
2024-06-22 14:05:07.841,3913,35,1,0,False,8,car,0 days 00:00:03.594000,0 days 00:18:34.924000
2024-06-22 14:05:08.321,3926,34,1,0,False,8,car,0 days 00:00:04.074000,0 days 00:18:35.404000
2024-06-22 14:05:08.521,3996,34,1,0,False,8,car,0 days 00:00:04.274000,0 days 00:18:35.604000
2024-06-22 14:05:08.841,3890,34,1,0,False,8,car,0 days 00:00:04.594000,0 days 00:18:35.924000
2024-06-22 14:05:09.001,3713,34,1,0,False,8,car,0 days 00:00:04.754000,0 days 00:18:36.084000
2024-06-22 14:05:09.161,3942,34,1,0,False,8,car,0 days 00:00:04.914000,0 days 00:18:36.244000
2024-06-22 14:05:09.401,4107,34,1,0,False,8,car,0 days 00:00:05.154000,0 days 00:18:36.484000
2024-06-22 14:05:09.641,3985,34,1,0,False,8,car,0 days 00:00:05.394000,0 days 00:18:36.724000
2024-06-22 14:05:09.841,3852,34,1,1,False,8,car,0 days 00:00:05.594000,0 days 00:18:36.924000
2024-06-22 14:05:10.121,3893,34,1,3,False,8,car,0 days 00:00:05.874000,0 days 00:18:37.204000
2024-06-22 14:05:10.401,3800,34,1,10,False,8,car,0 days 00:00:06.154000,0 days 00:18:37.484000
2024-06-22 14:05:10.602,4222,36,1,12,False,8,car,0 days 00:00:06.355000,0 days 00:18:37.685000
2024-06-22 14:05:10.962,5010,42,1,14,False,8,car,0 days 00:00:06.715000,0 days 00:18:38.045000
2024-06-22 14:05:11.162,5361,44,1,15,False,8,car,0 days 00:00:06.915000,0 days 00:18:38.245000
2024-06-22 14:05:11.402,5708,47,1,17,False,8,car,0 days 00:00:07.155000,0 days 00:18:38.485000
2024-06-22 14:05:11.722,6373,54,1,18,False,8,car,0 days 00:00:07.475000,0 days 00:18:38.805000
2024-06-22 14:05:12.002,6892,59,1,18,False,8,car,0 days 00:00:07.755000,0 days 00:18:39.085000
2024-06-22 14:05:12.202,7104,60,1,19,False,8,car,0 days 00:00:07.955000,0 days 00:18:39.285000
2024-06-22 14:05:12.362,7556,65,1,19,False,8,car,0 days 00:00:08.115000,0 days 00:18:39.445000
2024-06-22 14:05:12.562,7943,67,1,18,False,8,car,0 days 00:00:08.315000,0 days 00:18:39.645000
2024-06-22 14:05:12.802,8248,71,1,19,False,8,car,0 days 00:00:08.555000,0 days 00:18:39.885000
2024-06-22 14:05:13.241,8840,76,1,20,False,8,car,0 days 00:00:08.994000,0 days 00:18:40.324000
