F1 for AiM
Racer,Sergio Perez
Vehicle,Red Bull Racing
Track,Circuit de Barcelona-Catalunya
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-06-22 14:04:19.441,6634,78,2,8,False,8,car,0 days 00:00:00.230000,0 days 00:17:46.524000
2024-06-22 14:04:19.721,7213,80,2,18,False,8,car,0 days 00:00:00.510000,0 days 00:17:46.804000
2024-06-22 14:04:20.041,7339,84,2,22,False,8,car,0 days 00:00:00.830000,0 days 00:17:47.124000
2024-06-22 14:04:20.321,7652,86,2,26,False,8,car,0 days 00:00:01.110000,0 days 00:17:47.404000
2024-06-22 14:04:20.681,8175,92,2,31,False,8,car,0 days 00:00:01.470000,0 days 00:17:47.764000
2024-06-22 14:04:21.001,8720,96,2,39,False,8,car,0 days 00:00:01.790000,0 days 00:17:48.084000
2024-06-22 14:04:21.281,9101,100,2,40,False,8,car,0 days 00:00:02.070000,0 days 00:17:48.364000
2024-06-22 14:04:21.521,9696,105,2,50,False,8,car,0 days 00:00:02.310000,0 days 00:17:48.604000
2024-06-22 14:04:21.761,10176,112,2,57,False,8,car,0 days 00:00:02.550000,0 days 00:17:48.844000
2024-06-22 14:04:21.921,10176,115,2,57,False,8,car,0 days 00:00:02.710000,0 days 00:17:49.004000
2024-06-22 14:04:22.121,10890,121,2,63,False,8,car,0 days 00:00:02.910000,0 days 00:17:49.204000
2024-06-22 14:04:22.321,11363,126,2,63,False,8,car,0 days 00:00:03.110000,0 days 00:17:49.404000
2024-06-22 14:04:22.601,10086,132,3,73,False,8,car,0 days 00:00:03.390000,0 days 00:17:49.684000
2024-06-22 14:04:23.001,10933,146,3,100,False,8,car,0 days 00:00:03.790000,0 days 00:17:50.084000
2024-06-22 14:04:23.241,11436,154,3,100,False,8,car,0 days 00:00:04.030000,0 days 00:17:50.324000
2024-06-22 14:04:23.561,9856,164,3,100,False,8,car,0 days 00:00:04.350000,0 days 00:17:50.644000
2024-06-22 14:04:23.961,10595,175,4,100,False,8,car,0 days 00:00:04.750000,0 days 00:17:51.044000
2024-06-22 14:04:24.241,10971,184,4,100,False,8,car,0 days 00:00:05.030000,0 days 00:17:51.324000
2024-06-22 14:04:24.442,11393,189,4,100,False,8,car,0 days 00:00:05.231000,0 days 00:17:51.525000
2024-06-22 14:04:24.682,11573,191,4,100,False,8,car,0 days 00:00:05.471000,0 days 00:17:51.765000
2024-06-22 14:04:24.922,10245,196,4,100,False,8,car,0 days 00:00:05.711000,0 days 00:17:52.005000
2024-06-22 14:04:25.162,10539,204,5,100,False,8,car,0 days 00:00:05.951000,0 days 00:17:52.245000
2024-06-22 14:04:25.442,10869,210,5,100,False,8,car,0 days 00:00:06.231000,0 days 00:17:52.525000
2024-06-22 14:04:25.682,11203,215,5,100,False,8,car,0 days 00:00:06.471000,0 days 00:17:52.765000
2024-06-22 14:04:25.882,11247,220,5,100,False,8,car,0 days 00:00:06.671000,0 days 00:17:52.965000
2024-06-22 14:04:26.082,11491,226,5,100,False,8,car,0 days 00:00:06.871000,0 days 00:17:53.165000
2024-06-22 14:04:26.321,10511,227,5,100,False,8,car,0 days 00:00:07.110000,0 days 00:17:53.404000
2024-06-22 14:04:26.481,10460,231,6,100,False,8,car,0 days 00:00:07.270000,0 days 00:17:53.564000
2024-06-22 14:04:26.641,10468,235,6,100,False,8,car,0 days 00:00:07.430000,0 days 00:17:53.724000
2024-06-22 14:04:27.001,10793,241,6,100,False,8,car,0 days 00:00:07.790000,0 days 00:17:54.084000
2024-06-22 14:04:27.241,10452,243,6,100,False,8,car,0 days 00:00:08.030000,0 days 00:17:54.324000
2024-06-22 14:04:27.401,9524,244,7,100,False,8,car,0 days 00:00:08.190000,0 days 00:17:54.484000
2024-06-22 14:04:27.601,9524,246,7,100,False,8,car,0 days 00:00:08.390000,0 days 00:17:54.684000
2024-06-22 14:04:27.801,9796,248,7,100,False,8,car,0 days 00:00:08.590000,0 days 00:17:54.884000
2024-06-22 14:04:28.001,8956,249,7,100,False,8,car,0 days 00:00:08.790000,0 days 00:17:55.084000
2024-06-22 14:04:28.241,8480,246,8,0,True,8,car,0 days 00:00:09.030000,0 days 00:17:55.324000
2024-06-22 14:04:28.561,8330,228,8,0,True,8,car,0 days 00:00:09.350000,0 days 00:17:55.644000
2024-06-22 14:04:28.881,7585,203,8,0,True,8,car,0 days 00:00:09.670000,0 days 00:17:55.964000
2024-06-22 14:04:29.081,7218,188,8,0,True,8,car,0 days 00:00:09.870000,0 days 00:17:56.164000
2024-06-22 14:04:29.281,8066,173,8,0,True,8,car,0 days 00:00:10.070000,0 days 00:17:56.364000
2024-06-22 14:04:29.481,8021,161,6,0,True,8,car,0 days 00:00:10.270000,0 days 00:17:56.564000
2024-06-22 14:04:29.641,8135,154,6,0,True,8,car,0 days 00:00:10.430000,0 days 00:17:56.724000
2024-06-22 14:04:29.961,7720,134,4,0,True,8,car,0 days 00:00:10.750000,0 days 00:17:57.044000
2024-06-22 14:04:30.201,7138,130,4,0,True,8,car,0 days 00:00:10.990000,0 days 00:17:57.284000
2024-06-22 14:04:30.361,6875,119,4,0,True,8,car,0 days 00:00:11.150000,0 days 00:17:57.444000
2024-06-22 14:04:30.841,6330,107,4,0,False,8,car,0 days 00:00:11.630000,0 days 00:17:57.924000
2024-06-22 14:04:31.202,5924,102,4,4,False,8,car,0 days 00:00:11.991000,0 days 00:17:58.285000
2024-06-22 14:04:31.562,6039,101,4,7,False,8,car,0 days 00:00:12.351000,0 days 00:17:58.645000
2024-06-22 14:04:31.802,6023,100,4,11,False,8,car,0 days 00:00:12.591000,0 days 00:17:58.885000
2024-06-22 14:04:31.962,6049,101,4,14,False,8,car,0 days 00:00:12.751000,0 days 00:17:59.045000
2024-06-22 14:04:32.282,6216,102,4,19,False,8,car,0 days 00:00:13.071000,0 days 00:17:59.365000
2024-06-22 14:04:32.642,6302,104,4,25,False,8,car,0 days 00:00:13.431000,0 days 00:17:59.725000
2024-06-22 14:04:33.001,6456,108,4,24,False,8,car,0 days 00:00:13.790000,0 days 00:18:00.084000
2024-06-22 14:04:33.201,6778,111,4,24,False,8,car,0 days 00:00:13.990000,0 days 00:18:00.284000
2024-06-22 14:04:33.481,6746,113,4,24,False,8,car,0 days 00:00:14.270000,0 days 00:18:00.564000
2024-06-22 14:04:33.761,6950,116,4,26,False,8,car,0 days 00:00:14.550000,0 days 00:18:00.844000
2024-06-22 14:04:34.041,7085,118,4,29,False,8,car,0 days 00:00:14.830000,0 days 00:18:01.124000
2024-06-22 14:04:34.321,7254,118,4,30,False,8,car,0 days 00:00:15.110000,0 days 00:18:01.404000
2024-06-22 14:04:34.561,7305,122,4,31,False,8,car,0 days 00:00:15.350000,0 days 00:18:01.644000
2024-06-22 14:04:34.881,7579,125,4,37,False,8,car,0 days 00:00:15.670000,0 days 00:18:01.964000
2024-06-22 14:04:35.161,7750,128,4,42,False,8,car,0 days 00:00:15.950000,0 days 00:18:02.244000
2024-06-22 14:04:35.481,7963,132,4,44,False,8,car,0 days 00:00:16.270000,0 days 00:18:02.564000
2024-06-22 14:04:35.681,8046,135,4,46,False,8,car,0 days 00:00:16.470000,0 days 00:18:02.764000
2024-06-22 14:04:35.961,8518,140,4,55,False,8,car,0 days 00:00:16.750000,0 days 00:18:03.044000
2024-06-22 14:04:36.281,8798,146,4,61,False,8,car,0 days 00:00:17.070000,0 days 00:18:03.364000
2024-06-22 14:04:36.641,9093,157,4,70,False,8,car,0 days 00:00:17.430000,0 days 00:18:03.724000
2024-06-22 14:04:36.841,9771,161,4,48,False,8,car,0 days 00:00:17.630000,0 days 00:18:03.924000
2024-06-22 14:04:37.041,9700,162,4,23,False,8,car,0 days 00:00:17.830000,0 days 00:18:04.124000
2024-06-22 14:04:37.361,9505,160,4,14,False,8,car,0 days 00:00:18.150000,0 days 00:18:04.444000
2024-06-22 14:04:37.562,9361,158,4,14,False,8,car,0 days 00:00:18.351000,0 days 00:18:04.645000
2024-06-22 14:04:38.042,9264,155,4,21,False,8,car,0 days 00:00:18.831000,0 days 00:18:05.125000
2024-06-22 14:04:38.282,9223,155,4,24,False,8,car,0 days 00:00:19.071000,0 days 00:18:05.365000
2024-06-22 14:04:38.442,9192,154,4,24,False,8,car,0 days 00:00:19.231000,0 days 00:18:05.525000
2024-06-22 14:04:38.602,9183,154,4,23,False,8,car,0 days 00:00:19.391000,0 days 00:18:05.685000
